game_id,game_date,away_team_id,home_team_id
401827180,2025-11-15,2142,356
401817265,2025-11-15,2428,153
401819815,2025-11-15,2250,9
401826786,2025-11-15,2535,8
401820832,2025-11-15,2379,156
401822760,2025-11-14,2117,2154
401829445,2025-11-14,3120,2466
401829489,2025-11-14,2304,290
401820151,2025-11-14,2689,2426
401827433,2025-11-14,2329,164
401823376,2025-11-14,85,2199
401820840,2025-11-14,2815,2127
401829444,2025-11-15,309,2377
401828308,2025-11-15,324,55
401827498,2025-11-15,2450,119
401827450,2025-11-15,2569,232
401827153,2025-11-15,3229,2011
401825383,2025-11-15,2643,2698
401822350,2025-11-15,284,2217
401822168,2025-11-15,2230,314
401820543,2025-11-15,231,2460
401817166,2025-11-15,399,227
401809076,2025-11-15,2275,2083
401828906,2025-11-15,2565,2181
401826852,2025-11-15,2272,5
401823552,2025-11-15,2934,145
401813255,2025-11-15,2287,30
401808893,2025-11-15,2443,2655
401826806,2025-11-15,2837,242
401824826,2025-11-15,2116,245
401823560,2025-11-15,2752,2294
401818550,2025-11-15,2261,225
401825571,2025-11-15,77,305
401828289,2025-11-15,13,149
401826713,2025-11-15,59,61
401826087,2025-11-15,16,302
401823524,2025-11-15,2000,2617
401819862,2025-11-15,2507,38
401819825,2025-11-15,2627,239
401830342,2025-11-15,3101,2400
401828277,2025-11-15,249,2608
401824040,2025-11-15,2653,2351
401823532,2025-11-15,2710,2856
401824136,2025-11-15,264,265
401824897,2025-11-15,2363,62
401812788,2025-11-16,252,41
401817242,2025-11-15,195,97
401826915,2025-11-15,2729,2599
401819884,2025-11-15,163,2305
401823428,2025-11-15,178,2084
401822761,2025-11-15,6,2154
401817489,2025-11-15,276,258
401812919,2025-11-15,228,46
401829425,2025-11-15,140,251
401828681,2025-11-15,2169,2441
401826768,2025-11-15,261,111
401824358,2025-11-15,2771,104
401823369,2025-11-15,2174,2649
401823342,2025-11-15,294,2678
401823227,2025-11-15,236,526
401823011,2025-11-15,2309,325
401822179,2025-11-15,213,2325
401818300,2025-11-15,2619,43
401830115,2025-11-15,2046,2430
401826739,2025-11-15,2636,2172
401826700,2025-11-15,160,2244
401823486,2025-11-15,2382,2737
401823443,2025-11-15,128550,2454
401823395,2025-11-15,109700,2870
401823215,2025-11-15,2747,91
401823024,2025-11-15,120,269
401822340,2025-11-15,82,2130
401820551,2025-11-15,193,2005
401820185,2025-11-15,2352,284
401817455,2025-11-15,2086,2567
401817213,2025-11-15,103,218
401812602,2025-11-15,108,349
401829347,2025-11-15,2900,2546
401827129,2025-11-15,2029,238
401826870,2025-11-15,190,2473
401824887,2025-11-15,2193,2453
401823452,2025-11-15,2529,2511
401820606,2025-11-15,2066,2344
401808951,2025-11-15,2545,344
401823409,2025-11-15,2750,2515
401817478,2025-11-15,2182,183
401828671,2025-11-15,3164,44
401827911,2025-11-15,2638,328
401823816,2025-11-15,147,68
401823511,2025-11-15,70,28
401817196,2025-11-15,2754,179
401813275,2025-11-15,2415,2385
401812285,2025-11-15,161,2885
401827005,2025-11-15,2640,326
401826044,2025-11-15,155,27
401824948,2025-11-15,2081,288
401822730,2025-11-15,279,2239
401826747,2025-11-15,2447,93
401823418,2025-11-15,189,2166
401823324,2025-11-15,2623,250
401817144,2025-11-15,295,45
401826897,2025-11-16,2296,2348
401826778,2025-11-16,201,158
401824120,2025-11-16,2440,2541
401823589,2025-11-16,2908,350
401822320,2025-11-16,2031,2050
401812627,2025-11-16,2196,2520
401812354,2025-11-16,256,112358
401827012,2025-11-16,3134,2582
401813437,2025-11-16,2065,2168
401829483,2025-11-16,2131,2032
401826969,2025-11-16,2241,2210
401823541,2025-11-16,253,2437
401817185,2025-11-16,2253,139
401813447,2025-11-16,2184,222
401811967,2025-11-16,2057,198
401827235,2025-11-16,2739,135
401824070,2025-11-16,2458,2492
401823758,2025-11-16,2501,2751
401820224,2025-11-16,167,166
401819907,2025-11-16,2534,254
401830343,2025-11-16,2400,2363
401826948,2025-11-16,3084,278
401826932,2025-11-16,2692,300
401826727,2025-11-16,71,2539
401823556,2025-11-16,304,2547
401824898,2025-11-16,3101,62
401809305,2025-11-16,248,2
401820598,2025-11-17,2006,2509
401809416,2025-11-17,2390,57
401830742,2025-11-16,2026,159
401826053,2025-11-16,2681,2378
401823012,2025-11-16,2750,2309
401828577,2025-11-16,3077,2413
401817434,2025-11-16,87,194
401825205,2025-11-16,56,2717
401823384,2025-11-16,511,94
401820616,2025-11-16,2803,2674
401812662,2025-11-16,107,2261
401826813,2025-11-16,58,338
401824936,2025-11-16,2535,2110
401820578,2025-11-16,2514,311
401820186,2025-11-16,2352,2217
401817530,2025-11-16,2349,154
401817520,2025-11-16,2429,259
401813289,2025-11-16,357,197
401812645,2025-11-16,2115,113
401811105,2025-11-16,2711,233
401826070,2025-11-16,2515,325
401823360,2025-11-16,2634,98
401829352,2025-11-16,263,88
401826940,2025-11-16,2506,16
401822371,2025-11-16,2815,2010
401822169,2025-11-16,2879,2230
401817156,2025-11-16,36,2350
401812603,2025-11-16,108,2368
401820398,2025-11-16,2439,235
401827189,2025-11-16,2916,84
401813398,2025-11-16,116,2132
401813256,2025-11-17,2287,299
401823258,2025-11-17,2653,2463
401823542,2025-11-18,253,2250
401819873,2025-11-18,284,66
401826807,2025-11-18,242,2633
401826912,2025-11-18,2565,275
401817255,2025-11-18,2670,152
401829420,2025-11-17,50,61
401828470,2025-11-18,108942,2335
401827451,2025-11-18,2181,232
401826773,2025-11-18,3189,2226
401825384,2025-11-18,2698,2635
401824827,2025-11-18,2473,2116
401822833,2025-11-18,2142,2561
401819917,2025-11-18,322,277
401813376,2025-11-18,315,2330
401813349,2025-11-18,2099,2272
401812576,2025-11-18,2603,219
401809077,2025-11-18,2083,221
401830121,2025-11-18,2903,292
401828512,2025-11-18,2320,2433
401826853,2025-11-18,2519,5
401829473,2025-11-18,596,2571
401828919,2025-11-18,79,2449
401827041,2025-11-18,2504,142
401826997,2025-11-18,2025,2627
401819890,2025-11-18,202,2306
401830633,2025-11-18,2141,2710
401824041,2025-11-18,2351,2540
